dataset_id,dd_id,deployment
2677,452171,TT007
2678,450863,TT008
2678,450946,TT012
2679,450864,TT008
2679,450947,TT012
2680,450865,TT008
2680,450948,TT012
2681,450867,TT008
2681,450950,TT012
2682,450869,TT008
2682,450952,TT012
2683,450873,TT008
2683,450956,TT012
2684,450875,TT008
2684,450959,TT012
2685,450876,TT008
2685,450960,TT012
2686,450883,TT008
2686,450966,TT012
2708,452268,AVHRR_AESOPS
2709,450987,AESOPS_Array
2710,450988,AESOPS_Array
2711,450989,NBP-98-2
2715,451552,NBP-96-04A
2715,451553,NBP-97-01
2715,451554,NBP-97-03
2715,451555,NBP-97-08
2715,451556,KIWI6
2715,451557,KIWI7
2715,451558,KIWI8
2715,451559,KIWI9
2716,450995,AESOPS_Array
2717,450996,KIWI6
2717,450997,KIWI8
2718,450998,NBP-96-4
2718,451009,NBP-96-04A
2718,451034,NBP-96-5
2718,451043,NBP-97-01
2718,451070,NBP-97-03
2718,451096,NBP-97-08
2718,451125,NBP-98-2
2718,451145,KIWI6
2718,451170,KIWI7
2718,451195,KIWI8
2718,451224,KIWI9
2719,450999,NBP-96-4
2719,451010,NBP-96-04A
2719,451035,NBP-96-5
2719,451044,NBP-97-01
2719,451071,NBP-97-03
2719,451097,NBP-97-08
2719,451126,NBP-98-2
2719,451146,KIWI6
2720,451000,NBP-96-4
2720,451011,NBP-96-04A
2720,451036,NBP-96-5
2721,451001,NBP-96-4
2721,451140,NBP-98-2
2722,451002,NBP-96-4
2722,451021,NBP-96-04A
2722,451037,NBP-96-5
2722,451054,NBP-97-01
2722,451081,NBP-97-03
2722,451105,NBP-97-08
2722,451131,NBP-98-2
2722,451151,KIWI6
2722,451174,KIWI7
2722,451199,KIWI8
2722,451228,KIWI9
2723,451003,NBP-96-4
2723,451024,NBP-96-04A
2723,451038,NBP-96-5
2723,451057,NBP-97-01
2723,451084,NBP-97-03
2723,451109,NBP-97-08
2723,451136,NBP-98-2
2723,451156,KIWI6
2723,451180,KIWI7
2723,451204,KIWI8
2723,451234,KIWI9
2724,451004,NBP-96-4
2724,451026,NBP-96-04A
2724,451060,NBP-97-01
2724,451085,NBP-97-03
2725,451005,NBP-96-4
2725,451027,NBP-96-04A
2725,451061,NBP-97-01
2725,451086,NBP-97-03
2726,451006,NBP-96-4
2726,451090,NBP-97-03
2726,451117,NBP-97-08
2726,451137,NBP-98-2
2726,451251,KIWI9
2729,451012,NBP-96-04A
2729,451045,NBP-97-01
2729,451072,NBP-97-03
2729,451098,NBP-97-08
2729,451171,KIWI7
2729,451225,KIWI9
2730,451013,NBP-96-04A
2730,451147,KIWI6
2730,452254,NBP-97-01
2730,452255,NBP-97-03
2730,452256,NBP-97-08
2730,452257,KIWI7
2730,452258,KIWI9
2731,451014,NBP-96-04A
2731,451046,NBP-97-01
2731,451073,NBP-97-03
2731,451172,KIWI7
2731,451226,KIWI9
2732,451015,NBP-96-04A
2732,451047,NBP-97-01
2732,451074,NBP-97-03
2732,451099,NBP-97-08
2732,451157,KIWI6
2732,451182,KIWI7
2732,451205,KIWI8
2732,451236,KIWI9
2733,451016,NBP-96-04A
2733,451048,NBP-97-01
2733,451075,NBP-97-03
2733,451148,KIWI6
2733,451173,KIWI7
2733,451196,KIWI8
2733,451227,KIWI9
2734,451017,NBP-96-04A
2734,451050,NBP-97-01
2734,451077,NBP-97-03
2734,451101,NBP-97-08
2735,451018,NBP-96-04A
2735,451051,NBP-97-01
2735,451150,KIWI6
2735,451198,KIWI8
2736,451019,NBP-96-04A
2736,451052,NBP-97-01
2736,451079,NBP-97-03
2736,451103,NBP-97-08
2736,451192,KIWI7
2736,451253,KIWI9
2737,451020,NBP-96-04A
2737,451053,NBP-97-01
2737,451080,NBP-97-03
2737,451104,NBP-97-08
2738,451022,NBP-96-04A
2738,451055,NBP-97-01
2738,451082,NBP-97-03
2738,451106,NBP-97-08
2738,451152,KIWI6
2738,451175,KIWI7
2738,451200,KIWI8
2738,451229,KIWI9
2739,451023,NBP-96-04A
2739,451056,NBP-97-01
2739,451083,NBP-97-03
2739,451108,NBP-97-08
2739,451179,KIWI7
2739,451233,KIWI9
2740,451025,NBP-96-04A
2740,451059,NBP-97-01
2740,451110,NBP-97-08
2741,451028,NBP-96-04A
2741,451087,NBP-97-03
2741,451164,KIWI6
2741,451188,KIWI7
2742,451029,NBP-96-04A
2742,451088,NBP-97-03
2742,451116,NBP-97-08
2742,451165,KIWI6
2742,451216,KIWI8
2742,451246,KIWI9
2743,451030,NBP-96-04A
2743,451064,NBP-97-01
2743,451092,NBP-97-03
2743,451119,NBP-97-08
2743,451166,KIWI6
2743,451189,KIWI7
2743,451217,KIWI8
2743,451247,KIWI9
2744,451031,NBP-96-04A
2744,451065,NBP-97-01
2744,451160,KIWI6
2744,451184,KIWI7
2744,451208,KIWI8
2744,451238,KIWI9
2745,451032,NBP-96-04A
2745,451066,NBP-97-01
2745,451093,NBP-97-03
2745,451120,NBP-97-08
2745,451142,NBP-98-2
2746,451033,NBP-96-04A
2746,451067,NBP-97-01
2746,451094,NBP-97-03
2746,451121,NBP-97-08
2746,451169,KIWI6
2746,451194,KIWI7
2746,451221,KIWI8
2746,451255,KIWI9
2748,451042,NBP-96-5
2748,451069,NBP-97-01
2748,451124,NBP-97-08
2748,451223,KIWI8
2748,451257,KIWI9
2749,451049,NBP-97-01
2749,452172,KIWI6
2749,452173,KIWI8
2750,451058,NBP-97-01
2750,451181,KIWI7
2750,451235,KIWI9
2751,451062,NBP-97-01
2751,451250,KIWI9
2752,451076,NBP-97-03
2752,451100,NBP-97-08
2753,451078,NBP-97-03
2753,451102,NBP-97-08
2754,451089,NBP-97-03
2754,451158,KIWI6
2754,451183,KIWI7
2754,451206,KIWI8
2754,451237,KIWI9
2755,451107,NBP-97-08
2755,451153,KIWI6
2755,451176,KIWI7
2755,451201,KIWI8
2755,451230,KIWI9
2756,451111,NBP-97-08
2756,451212,KIWI8
2756,451242,KIWI9
2757,451112,NBP-97-08
2757,451213,KIWI8
2757,451243,KIWI9
2758,451113,NBP-97-08
2758,451214,KIWI8
2758,451244,KIWI9
2760,451122,NBP-97-08
2760,451155,KIWI6
2760,451203,KIWI8
2769,451149,KIWI6
2769,451197,KIWI8
2769,451623,NBP-97-01
2770,451154,KIWI6
2770,451177,KIWI7
2770,451202,KIWI8
2770,451231,KIWI9
2771,451159,KIWI6
2771,451207,KIWI8
2772,451161,KIWI6
2772,451185,KIWI7
2772,451209,KIWI8
2772,451239,KIWI9
2774,451163,KIWI6
2774,451187,KIWI7
2774,451211,KIWI8
2774,451241,KIWI9
2775,451167,KIWI6
2775,451190,KIWI7
2775,451218,KIWI8
2775,451248,KIWI9
2776,451168,KIWI6
2776,451193,KIWI7
2776,451220,KIWI8
2776,451254,KIWI9
2777,451178,KIWI7
2777,451232,KIWI9
2778,451115,NBP-97-08
2778,451215,KIWI8
2778,451245,KIWI9
2813,451362,COOK19MV
2813,451363,DRFT08RR
2813,451364,PS02_2002
2814,451365,PS02_2002
2814,451549,COOK19MV
2814,451550,DRFT08RR
2818,451369,PS02_2002
2818,451568,COOK19MV
2818,451569,DRFT08RR
2819,451370,PS02_2002
2819,451371,DRFT08RR
2819,451372,COOK19MV
2821,451376,ANT-XXI-3
2822,451377,ANT-XVIII-2
2851,451570,COOK19MV
2851,451571,DRFT08RR
2851,451572,PS02_2002
2915,451509,BAMS-multi
2916,451510,TT039
2916,451511,TT040
2916,451512,TT041
2916,451513,TT042
2916,451514,TT043
2916,451515,TT044
2916,451516,TT045
2916,451517,TT046
2916,451520,TT047
2916,451521,TT048
2916,451522,TT049
2916,451523,TT050
2916,451524,TT051
2916,451525,TT052
2916,451526,TT053
2916,451527,TT054
2916,451528,TT055
2921,451533,61TG_3052
2929,451573,COOK19MV
2929,451574,DRFT08RR
2930,451575,COOK19MV
2930,451576,DRFT08RR
2931,451578,COOK19MV
2931,451579,DRFT08RR
2933,451582,COOK19MV
2933,451583,DRFT08RR
2937,451587,DRFT08RR
2938,451588,DRFT08RR
2947,451597,KM0414
2947,451598,ZHNG09RR
2948,451599,KM0414
2948,451600,ZHNG09RR
2949,451601,KM0414
2949,451602,ZHNG09RR
2950,451603,KM0414
2950,451604,ZHNG09RR
2954,451609,TT050
2954,451610,TT054
2954,451613,TT043
2954,451614,TT045
2957,451621,KM0414
2957,451622,ZHNG09RR
2961,451627,COOK19MV
2966,451639,KM0414
2966,451666,ZHNG09RR
2969,451643,KM0414
2969,451644,ZHNG09RR
2970,451645,KM0414
2970,451646,ZHNG09RR
2974,451650,TT043
2974,451651,TT045
2974,451652,TT050
2974,451653,TT054
2975,451654,TT043
2975,451655,TT045
2975,451656,TT050
2975,451657,TT054
2976,451658,KM0414
2976,451659,ZHNG09RR
2977,451660,KM0414
2977,451661,ZHNG09RR
2980,451664,KN192-05
2983,451674,RB-08-02
2985,451678,TT043
2985,451679,TT045
3006,451781,USJGOFS_SMP
3031,452225,OC415-02
3031,452226,OC415-04
3032,452228,MF0111
3032,452229,RB0103a
3032,452260,KM0309B
3032,452261,KM0313
3032,452262,MF0303
3032,452263,HX287
3032,452264,HX284
3032,455195,RB0103b
3033,452230,OC404-01
3033,452231,OC404-04
3033,452232,OC415-01
3033,452233,OC415-03
3036,452269,KN193-05
3036,454628,KN193-06
3037,452270,OC404-01
3037,452271,OC404-04
3037,452272,OC415-01
3037,452273,OC415-02
3037,452274,OC415-03
3037,452275,OC415-04
3039,452277,OC404-01
3039,452278,OC404-04
3039,452279,OC415-02
3039,452280,OC415-04
3040,452281,OC404-01
3040,452282,OC404-04
3042,452284,OC404-01
3042,452285,OC404-04
3042,452286,OC415-01
3042,452287,OC415-02
3042,452288,OC415-03
3042,452289,OC415-04
3042,452290,WB0409
3042,452291,WB0413
3043,452292,WB0409
3043,452293,WB0413
3043,452294,WB0506
3043,452295,WB0508
3044,452296,OC404-01
3044,452297,OC404-04
3044,452298,OC415-01
3044,452299,OC415-02
3044,452300,OC415-03
3044,452301,OC415-04
3044,452302,WB0409
3044,452303,WB0413
3045,452304,OC404-01
3045,452305,OC404-04
3046,452306,OC404-01
3046,452307,WB0409
3048,452309,OC404-01
3048,452310,OC404-04
3048,452311,OC415-01
3048,452312,OC415-03
3049,452313,OC415-02
3049,452314,OC415-04
3050,452315,WB0409
3050,452316,WB0413
3050,452317,WB0506
3050,452318,WB0508
3051,452319,OC404-01
3051,452320,OC404-04
3051,452321,OC415-01
3051,452322,OC415-03
3052,452323,OC404-01
3052,452324,OC404-04
3052,452325,OC415-01
3052,452326,OC415-03
3053,452327,WB0409
3053,452328,WB0413
3053,452329,WB0506
3053,452330,WB0508
3054,452331,OC415-02
3054,452332,OC415-04
3056,452334,WB0409
3056,452335,WB0413
