dd_id,deployment
449655,EN262
449656,EN264
449657,EN265
449658,EN266
449659,EN267I
449660,EN267II
449661,EN268
449662,EN269
449663,EN276
449664,EN278
449665,EN282
449666,EN288
449667,EN290
449668,OC276
449669,EN276
449670,EN278
449671,EN282
449672,EN288
449673,EN290
449674,OC276
449675,EN276
449676,EN278
449677,EN282
449678,EN288
449679,EN290
449680,OC276
449681,EN292
449682,EN296
449683,EN298
449684,EN301
449685,EN302
449686,EN303
449687,EN307
449688,EN308
449689,OC296
449690,OC298
449691,OC300
449692,OC301
449693,OC302
449694,OC303
449695,EN292
449696,EN296
449697,EN298
449698,EN301
449699,EN302
449700,EN303
449701,EN307
449702,EN308
449703,OC296
449704,OC298
449705,OC300
449706,OC301
449707,OC302
449708,OC303
449709,EN292
449710,EN296
449711,EN298
449712,EN301
449713,EN302
449714,EN303
449715,EN307
449716,EN308
449717,OC296
449718,OC298
449719,OC300
449720,OC301
449721,OC302
449722,OC303
449723,OC317
449724,OC319
449725,OC321
449726,OC322
449727,OC331
449728,OC332
449729,OC333
449730,OC334
449731,OC317
449732,OC319
449733,OC321
449734,OC322
449735,OC331
449736,OC332
449737,OC333
449738,OC334
449739,OC317
449740,OC319
449741,OC321
449742,OC322
449743,OC331
449744,OC332
449745,OC333
449746,OC334
449747,EN319
449748,EN320
449749,EN321
449750,EN322
449751,EN323
449752,EN324
449753,EN325
449754,EN330
449755,EN331
449756,OC336
449757,OC338
449758,OC339
449759,OC340
449760,OC341
449761,OC342
449762,OC343
449763,OC344
449764,OC345
449765,OC346
449766,OC347
449767,EN319
449768,EN320
449769,EN321
449770,EN322
449771,EN323
449772,EN324
449773,EN325
449774,EN330
449775,EN331
449776,OC336
449777,OC338
449778,OC339
449779,OC340
449780,OC341
449781,OC342
449782,OC343
449783,OC344
449784,OC345
449785,OC346
449786,OC347
449787,EN319
449788,EN320
449789,EN321
449790,EN322
449791,EN323
449792,EN324
449793,EN325
449794,EN330
449795,EN331
449796,OC336
449797,OC338
449798,OC339
449799,OC340
449800,OC341
449801,OC342
449802,OC343
449803,OC344
449804,OC345
449805,OC346
449806,OC347
449807,NH0005
449808,NH0007
449809,AL9505
449810,AL9508
449811,AL9607
449812,AL9701
449813,AL9705
449814,AL9707
449815,AL9801
449816,AL9805
449817,AL9808
449818,AL9901
449819,AL9906
449820,AL9505
449821,AL9506
449822,AL9508
449823,AL9605
449824,AL9607
449825,AL9701
449826,AL9705
449827,AL9707
449828,AL9801
449829,AL9806
449830,AL9808
449831,AL9901
449832,AL9904
449833,AL9906
449834,EN261
449835,EN263
449836,EN265
449837,EN276
449838,EN278
449839,EN282
449840,EN320
449841,OC275
449842,OC298
449843,OC300
449844,OC302
449845,OC317
449846,OC319
449847,OC322
449848,OC336
449849,OC341
449850,AL9505
449851,AL9506
449852,AL9508
449853,EN261
449854,EN263
449855,EN265
449856,AL9605
449857,AL9607
449858,EN276
449859,EN278
449860,EN282
449861,OC275
449862,AL9701
449863,AL9705
449864,AL9707
449865,OC298
449866,OC300
449867,OC302
449868,AL9801
449869,AL9806
449870,AL9808
449871,OC317
449872,OC319
449873,OC322
449874,AL9901
449875,AL9904
449876,AL9906
449877,EN320
449878,OC336
449879,OC341
449880,AL9404
449881,AL9505
449882,AL9506
449883,AL9508
449884,AL9605
449885,AL9607
449886,AL9701
449887,AL9705
449888,AL9707
449889,EN261
449890,EN263
449891,EN265
449892,EN276
449893,EN278
449894,EN282
449895,OC275
449896,OC298
449897,OC300
449898,OC302
449899,PAR95-010
449900,PAR95-034
449901,PAR96-024
449902,PAR97-025
449903,AL9801
449904,OC317
449905,OC319
449906,OC322
449907,AL9806
449908,AL9808
449909,AL9901
449910,OC336
449911,EN320
449912,OC341
449913,AL9904
449914,AL9906
449915,AL9205
449916,AL9607
449917,PAR93-032
449918,PAR94-018
449919,PAR95-010
449920,PAR95-034
449921,PAR96-024
449922,HUD9877
449923,EN256
449924,EL9904
449925,EL9905
449926,OC296
449927,OC301
449928,OC303
449929,SJ9505
449931,EN259
449932,EN262
449933,EN264
449934,EN266
449935,EN267II
449936,EN321
449937,EN325
449938,SC9801
449939,SC9802
449940,SC9803
449941,OC342
449942,EN321
449943,EN321
449944,EN321
449945,EN325
449946,SJ9506
449947,SJ9506
449948,SJ9508
449949,SJ9508
449950,OC301
449951,OC303
449952,EL9904
449953,EL9905
449954,AL9805
449955,EL9904
449956,EL9905
449957,EN322
449958,EN323
449959,OC301
449960,OC303
449961,SJ9503
449962,SJ9505
449963,SJ9507
449964,OC340
449965,OC343
449966,EN321
449967,EN325
449968,EN259
449969,EN262
449970,EN264
449971,EN266
449972,EN267I
449973,W0205A
449974,NH0207
449975,W9711C
449976,W9801B
449977,W9804A
449978,AR9807
449979,W9808A
449980,W9809A
449981,W9811A
449982,W9902A
449983,W9904B
